ID,Cluster
501,2
502,3
503,4
504,5
505,6
506,7
507,8
508,9
509,10
510,11
511,12
512,13
513,14
514,15
515,16
516,17
517,18
518,19
519,20
520,21
521,22
522,23
523,24
524,25
525,11
526,26
527,27
528,28
529,29
530,30
531,31
532,32
533,33
534,34
535,35
536,36
537,37
538,38
539,39
540,29
541,40
542,41
543,42
544,11
545,43
546,44
547,45
548,31
549,46
550,47
551,48
552,10
553,49
554,50
555,51
556,52
557,53
558,54
559,55
560,56
561,57
562,58
563,59
564,60
565,61
566,62
567,63
568,64
569,65
570,66
571,67
572,68
573,69
574,62
575,70
576,71
577,31
578,72
579,73
580,74
581,75
582,76
583,77
584,78
585,79
586,80
587,81
588,82
589,83
590,84
591,85
592,86
593,87
594,17
595,56
596,88
597,89
598,90
599,68
600,91
601,92
602,72
603,58
604,93
605,94
606,95
607,96
608,97
609,5
610,13
611,98
612,99
613,100
614,101
615,84
616,102
617,103
618,104
619,105
620,106
621,62
622,107
623,108
624,17
625,109
626,11
627,110
628,111
629,68
630,112
631,113
632,114
633,93
634,72
635,113
636,115
637,60
638,50
639,54
640,22
641,20
642,116
643,30
644,117
645,118
646,23
647,119
648,65
649,82
650,36
651,120
652,109
653,74
654,121
655,97
656,95
657,10
658,92
659,65
660,114
661,21
662,111
663,122
664,117
665,123
666,124
667,53
668,57
669,125
670,35
671,101
672,126
673,98
674,6
675,109
676,127
677,81
678,18
679,12
680,27
681,80
682,104
683,128
684,129
685,61
686,35
687,126
688,124
689,43
690,95
691,130
692,119
693,131
694,132
695,133
696,134
697,114
698,135
699,120
700,28
701,34
702,63
703,78
704,136
705,73
706,95
707,7
708,137
709,138
710,101
711,127
712,139
713,121
714,49
715,127
716,46
717,85
718,140
719,15
720,141
721,142
722,143
723,144
724,145
725,83
726,89
727,52
728,146
729,147
730,148
731,12
732,149
733,132
734,94
735,16
736,78
737,105
738,17
739,20
740,52
741,45
742,150
743,151
744,152
745,149
746,145
747,153
748,138
749,125
750,107
751,154
752,147
753,7
754,40
755,86
756,155
757,137
758,76
759,156
760,157
761,158
762,159
763,2
764,29
765,90
766,133
767,160
768,154
769,79
770,39
771,51
772,161
773,162
774,131
775,93
776,152
777,163
778,164
779,159
780,100
781,165
782,164
783,104
784,166
785,128
786,50
787,47
788,110
789,77
790,167
791,66
792,168
793,129
794,46
795,130
796,88
797,4
798,169
799,134
800,108
801,130
802,45
803,77
804,170
805,109
806,171
807,87
808,141
809,172
810,19
811,128
812,69
813,73
814,173
815,88
816,101
817,141
818,174
819,91
820,175
821,170
822,15
823,123
824,176
825,54
826,105
827,177
828,158
829,178
830,179
831,161
832,19
833,138
834,18
835,100
836,168
837,136
838,180
839,143
840,169
841,98
842,160
843,14
844,181
845,182
846,153
847,71
848,124
849,58
850,42
851,6
852,9
853,183
854,181
855,111
856,163
857,107
858,139
859,115
860,178
861,169
862,120
863,55
864,94
865,87
866,121
867,147
868,96
869,33
870,140
871,107
872,176
873,44
874,37
875,162
876,135
877,70
878,174
879,156
880,171
881,144
882,184
883,27
884,163
885,177
886,168
887,185
888,185
889,179
890,136
891,79
892,102
893,169
894,166
895,167
896,170
897,75
898,164
899,139
900,144
901,173
902,9
903,151
904,103
905,186
906,173
907,147
908,182
909,59
910,64
911,25
912,142
913,8
914,26
915,112
916,42
917,187
918,53
919,77
920,32
921,163
922,131
923,188
924,155
925,123
926,56
927,126
928,104
929,174
930,148
931,3
932,123
933,142
934,99
935,181
936,180
937,47
938,67
939,18
940,145
941,7
942,85
943,134
944,165
945,172
946,184
947,108
948,156
949,116
950,160
951,150
952,93
953,110
954,188
955,76
956,75
957,16
958,8
959,106
960,146
961,41
962,151
963,90
964,103
965,122
966,186
967,39
968,40
969,38
970,189
971,69
972,175
973,99
974,183
975,190
976,35
977,112
978,189
979,42
980,157
981,187
982,53
983,56
984,178
985,168
986,140
987,115
988,24
989,40
990,48
991,115
992,54
993,118
994,118
995,122
996,173
997,39
998,118
999,59
1000,190
