ID,Cluster
501,6
502,7
503,8
504,4
505,7
506,8
507,8
508,7
509,2
510,8
511,4
512,2
513,5
514,4
515,7
516,3
517,7
518,5
519,8
520,4
521,8
522,7
523,7
524,8
525,7
526,8
527,4
528,5
529,4
530,8
531,5
532,7
533,1
534,8
535,5
536,8
537,7
538,6
539,4
540,7
541,2
542,4
543,8
544,2
545,8
546,5
547,7
548,4
549,4
550,5
551,4
552,4
553,4
554,7
555,8
556,8
557,4
558,5
559,4
560,4
561,2
562,7
563,7
564,8
565,8
566,7
567,5
568,5
569,7
570,4
571,1
572,6
573,5
574,4
575,4
576,1
577,5
578,5
579,7
580,7
581,8
582,7
583,5
584,7
585,7
586,5
587,5
588,7
589,3
590,7
591,1
592,1
593,2
594,7
595,5
596,4
597,8
598,7
599,7
600,7
601,5
602,6
603,6
604,8
605,5
606,7
607,7
608,7
609,5
610,4
611,5
612,6
613,6
614,7
615,4
616,5
617,5
618,4
619,4
620,4
621,7
622,6
623,3
624,6
625,8
626,4
627,7
628,4
629,7
630,6
631,5
632,8
633,7
634,4
635,7
636,8
637,4
638,8
639,6
640,7
641,5
642,7
643,8
644,5
645,5
646,8
647,5
648,7
649,7
650,4
651,4
652,4
653,2
654,1
655,7
656,4
657,7
658,8
659,7
660,4
661,4
662,7
663,2
664,6
665,5
666,7
667,4
668,6
669,7
670,4
671,8
672,8
673,6
674,4
675,7
676,6
677,5
678,4
679,7
680,8
681,7
682,5
683,4
684,7
685,5
686,7
687,6
688,2
689,5
690,6
691,7
692,4
693,5
694,5
695,8
696,6
697,7
698,1
699,4
700,5
701,8
702,6
703,5
704,4
705,5
706,4
707,5
708,7
709,4
710,4
711,2
712,7
713,4
714,1
715,2
716,7
717,6
718,1
719,7
720,4
721,4
722,6
723,8
724,4
725,7
726,7
727,1
728,7
729,1
730,7
731,7
732,1
733,7
734,1
735,2
736,4
737,1
738,7
739,4
740,4
741,5
742,7
743,6
744,7
745,6
746,5
747,6
748,5
749,4
750,2
751,7
752,4
753,1
754,1
755,1
756,1
757,8
758,1
759,2
760,4
761,4
762,3
763,7
764,1
765,4
766,4
767,3
768,2
769,1
770,7
771,5
772,4
773,1
774,6
775,1
776,8
777,5
778,1
779,2
780,3
781,6
782,1
783,1
784,3
785,3
786,3
787,3
788,1
789,4
790,2
791,1
792,3
793,3
794,7
795,3
796,4
797,4
798,4
799,8
800,1
801,8
802,2
803,4
804,4
805,2
806,1
807,2
808,8
809,3
810,3
811,3
812,1
813,1
814,8
815,6
816,1
817,1
818,3
819,2
820,1
821,1
822,1
823,4
824,1
825,1
826,4
827,1
828,3
829,6
830,1
831,1
832,1
833,3
834,3
835,6
836,4
837,2
838,1
839,1
840,4
841,1
842,1
843,1
844,4
845,1
846,3
847,6
848,4
849,1
850,4
851,3
852,1
853,6
854,7
855,4
856,4
857,1
858,6
859,1
860,2
861,1
862,3
863,3
864,1
865,2
866,3
867,4
868,3
869,1
870,4
871,7
872,1
873,1
874,8
875,4
876,1
877,3
878,4
879,3
880,7
881,7
882,3
883,1
884,3
885,1
886,4
887,3
888,3
889,1
890,4
891,1
892,1
893,8
894,7
895,1
896,2
897,4
898,2
899,4
900,3
901,4
902,4
903,1
904,1
905,3
906,6
907,1
908,8
909,3
910,4
911,3
912,8
913,7
914,3
915,1
916,8
917,4
918,4
919,3
920,3
921,3
922,3
923,3
924,3
925,3
926,4
927,1
928,1
929,3
930,6
931,7
932,3
933,2
934,1
935,3
936,7
937,3
938,4
939,7
940,3
941,3
942,1
943,4
944,3
945,1
946,1
947,3
948,4
949,3
950,1
951,1
952,6
953,1
954,3
955,5
956,4
957,1
958,1
959,1
960,1
961,5
962,5
963,3
964,1
965,2
966,6
967,3
968,8
969,4
970,3
971,3
972,7
973,6
974,3
975,8
976,3
977,4
978,3
979,4
980,1
981,3
982,1
983,2
984,4
985,8
986,1
987,4
988,1
989,8
990,3
991,3
992,4
993,8
994,6
995,3
996,1
997,6
998,1
999,1
1000,3
