ID,Cluster
501,1
502,2
503,1
504,2
505,2
506,2
507,2
508,2
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,2
517,1
518,2
519,2
520,2
521,1
522,2
523,2
524,2
525,1
526,1
527,1
528,1
529,1
530,1
531,2
532,1
533,2
534,1
535,1
536,1
537,2
538,2
539,1
540,2
541,2
542,2
543,1
544,2
545,2
546,2
547,1
548,2
549,2
550,2
551,1
552,1
553,1
554,1
555,2
556,1
557,1
558,2
559,1
560,1
561,1
562,2
563,1
564,2
565,1
566,2
567,1
568,2
569,1
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,1
579,1
580,1
581,2
582,1
583,1
584,1
585,1
586,2
587,1
588,1
589,2
590,2
591,2
592,2
593,1
594,1
595,1
596,2
597,1
598,2
599,1
600,1
601,1
602,2
603,2
604,2
605,2
606,1
607,1
608,2
609,2
610,1
611,2
612,1
613,2
614,1
615,1
616,1
617,2
618,1
619,2
620,1
621,1
622,1
623,1
624,1
625,2
626,2
627,2
628,1
629,1
630,1
631,1
632,2
633,2
634,1
635,1
636,1
637,2
638,2
639,1
640,2
641,2
642,1
643,1
644,2
645,1
646,2
647,1
648,1
649,1
650,2
651,1
652,1
653,1
654,1
655,2
656,2
657,2
658,1
659,1
660,1
661,2
662,2
663,1
664,2
665,1
666,2
667,1
668,1
669,1
670,1
671,2
672,1
673,1
674,1
675,2
676,1
677,2
678,2
679,1
680,1
681,1
682,2
683,1
684,1
685,2
686,1
687,1
688,2
689,2
690,2
691,2
692,2
693,1
694,2
695,2
696,1
697,2
698,2
699,2
700,2
701,1
702,1
703,1
704,1
705,2
706,2
707,1
708,1
709,1
710,1
711,1
712,1
713,2
714,1
715,2
716,1
717,2
718,1
719,2
720,1
721,2
722,1
723,1
724,1
725,1
726,2
727,1
728,2
729,1
730,1
731,1
732,1
733,2
734,1
735,1
736,1
737,1
738,2
739,2
740,2
741,2
742,2
743,2
744,2
745,1
746,2
747,1
748,1
749,2
750,2
751,1
752,2
753,2
754,1
755,2
756,2
757,1
758,2
759,1
760,2
761,2
762,2
763,1
764,1
765,1
766,2
767,1
768,1
769,1
770,2
771,1
772,1
773,2
774,1
775,2
776,1
777,2
778,1
779,1
780,2
781,1
782,2
783,1
784,1
785,1
786,2
787,1
788,1
789,1
790,2
791,2
792,2
793,2
794,2
795,1
796,2
797,2
798,2
799,2
800,1
801,2
802,2
803,2
804,2
805,2
806,2
807,2
808,1
809,2
810,2
811,2
812,2
813,1
814,2
815,2
816,1
817,1
818,1
819,1
820,2
821,2
822,2
823,1
824,1
825,2
826,2
827,1
828,2
829,2
830,1
831,2
832,1
833,2
834,2
835,2
836,2
837,1
838,2
839,2
840,1
841,1
842,2
843,2
844,1
845,1
846,2
847,1
848,1
849,1
850,1
851,2
852,1
853,2
854,2
855,1
856,2
857,1
858,1
859,2
860,2
861,2
862,2
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,2
873,2
874,2
875,2
876,1
877,2
878,1
879,2
880,2
881,2
882,2
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,2
891,1
892,2
893,1
894,2
895,2
896,1
897,1
898,2
899,2
900,1
901,1
902,2
903,2
904,1
905,1
906,2
907,1
908,2
909,1
910,2
911,1
912,2
913,1
914,2
915,2
916,1
917,1
918,2
919,2
920,2
921,1
922,2
923,2
924,1
925,1
926,2
927,2
928,2
929,2
930,1
931,2
932,1
933,1
934,1
935,1
936,1
937,2
938,2
939,2
940,1
941,2
942,1
943,2
944,1
945,1
946,2
947,2
948,1
949,2
950,1
951,1
952,1
953,2
954,1
955,1
956,2
957,1
958,1
959,1
960,1
961,2
962,1
963,2
964,2
965,1
966,2
967,1
968,1
969,2
970,1
971,2
972,2
973,2
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,2
982,1
983,1
984,1
985,1
986,2
987,1
988,1
989,1
990,1
991,1
992,1
993,2
994,1
995,2
996,2
997,2
998,2
999,2
1000,2
